Stadyum,Ev Sahibi Takım,Deplasman Takım,Tarih/Saat,Organizasyon,Hakemler,Gözlemci,Temsilci
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,MENEMEN FUTBOL KULÜBÜ,24.08.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım),"UMUT YALÇINKAYA(Hakem), ERSİN ERBAY(1. Yardımcı Hakem), CEM HARMAN(2. Yardımcı Hakem), BURAK AKDAĞ(Dördüncü Hakem)",YUSUF YILMAZ(Gözlemci),İBRAHİM ALPER GÜMÜŞ(Temsilci)
DAĞILGAN STADI,68 AKSARAY BELEDİYE SPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,30.08.2025 - 16:30,Nesine 2. Lig (Profesyonel Takım),"EMRE CAN FURUNCU(Hakem), ERDEM TANIŞ(1. Yardımcı Hakem), HASAN ATA(2. Yardımcı Hakem), CANTÜRK KILIÇ(Dördüncü Hakem)",SERTAN BAKAN(Gözlemci),GÜLAY GÜNEŞ(Temsilci)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,NİĞDE BELEDİYESİ SPOR,2.09.2025 - 20:00,"Ziraat Türkiye Kupası (Profesyonel Takım)
(1.Tur)","EMRULLAH BAYDAR(Hakem), EMRAH AKKAYA(1. Yardımcı Hakem), KEREM YILDIZ(2. Yardımcı Hakem), KADİR AKPINAR(Dördüncü Hakem)",ALİ ETLİKCİ(Gözlemci),İSKENDER BİRKAN HANCI(Temsilci)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,BURSASPOR,7.09.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım),"TURHAN BEYKE(Hakem), ALİ RIZA ÖZTÜRK(1. Yardımcı Hakem), DEMİRHAN EMİR(2. Yardımcı Hakem), GÖKTAN DEMELİ(Dördüncü Hakem)",SERKAN ÇİNAR(Gözlemci),MEHMET SARIBUVA(Temsilci)
MERKEZ SPOR KOMPLEKSİ STADYUMU,AKEDAŞ KAHRAMANMARAŞ İSTİKLAL SPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,13.09.2025 - 15:30,Nesine 2. Lig (Profesyonel Takım),"ASEN ALBAYRAK(Hakem), BUĞRA CAN SEMERCİOĞLU(1. Yardımcı Hakem), BARAN CAN DURMUŞ(2. Yardımcı Hakem), DEMOKRAT ÖZGÜR GÜNEŞ(Dördüncü Hakem)",BARIŞ YÜKSEKTEPE(Gözlemci),ZAİT BURAK AKTUĞ(Temsilci)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,GÜZİDE GEBZE SPOR KULÜBÜ,21.09.2025 - 18:00,Nesine 2. Lig (Profesyonel Takım),"MUHAMMET ALPEREN ÇOPUR(Hakem), SEZGİN ŞAHBAZ(1. Yardımcı Hakem), ONUR TOMAK(2. Yardımcı Hakem), LEVENT BALCI(Dördüncü Hakem)",BAHADIR KAYIŞOĞLU(Gözlemci),AHMET TÜRKÖZ(Temsilci)
FETHİYE İLÇE,FETHİYESPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,28.09.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım),"NEVZAT OKAT(Hakem), ERDİNÇ TUFAN(1. Yardımcı Hakem), SEMİH KURTULUŞ(2. Yardımcı Hakem), SERKAN GÜRBÜZ(Dördüncü Hakem)",ARİF ÇELİK(Gözlemci),MERYEM HALDAN(Temsilci)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,MARDİN 1969 SPOR,5.10.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım),"BİRKAN ALTINDAŞ(Hakem), DENİZCAN ŞAHİN(1. Yardımcı Hakem), TOLGA DÜYÜNCÜ(2. Yardımcı Hakem), BERAT CAN TAŞKESEN(Dördüncü Hakem)",OSMAN YİĞİT UZER(Gözlemci),ÖZCAN SARMAN(Temsilci)
TCDD ANKARA DEMİRSPOR,ANKARA DEMİRSPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,12.10.2025 - 15:00,Nesine 2. Lig (Profesyonel Takım),"EMRE CAN FURUNCU(Hakem), MELİH TAN(1. Yardımcı Hakem), HAKAN CAN YILMAZ(2. Yardımcı Hakem), HATİCE AYDİN(Dördüncü Hakem)",İBRAHİM SÜSLÜ(Gözlemci),FİKRET SAYGIN(Temsilci)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,SOMASPOR,19.10.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım),"ENVER AYDIN(Hakem), CİHAT SEVİ(1. Yardımcı Hakem), MUSTAFA SERT(2. Yardımcı Hakem), BERKAY AĞIŞ(Dördüncü Hakem)",YUSUF YILMAZ(Gözlemci),RAMAZAN GÖK(Temsilci)
