Stadyum,Ev Sahibi Takım,Deplasman Takım,Tarih/Saat,Organizasyon
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,MENEMEN FUTBOL KULÜBÜ,24.08.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım)
DAĞILGAN STADI,68 AKSARAY BELEDİYE SPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,30.08.2025 - 16:30,Nesine 2. Lig (Profesyonel Takım)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,NİĞDE BELEDİYESİ SPOR,2.09.2025 - 20:00,"Ziraat Türkiye Kupası (Profesyonel Takım)
(1.Tur)"
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,BURSASPOR,7.09.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım)
,AKEDAŞ KAHRAMANMARAŞ İSTİKLAL SPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,13.09.2025 - 15:30,Nesine 2. Lig (Profesyonel Takım)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,GÜZİDE GEBZE SPOR KULÜBÜ,21.09.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım)
FETHİYE İLÇE,FETHİYESPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,28.09.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,MARDİN 1969 SPOR,5.10.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım)
TCDD ANKARA DEMİRSPOR,ANKARA DEMİRSPOR,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,12.10.2025 - 15:00,Nesine 2. Lig (Profesyonel Takım)
MERSİN STADYUMU,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,SOMASPOR,19.10.2025 - 19:00,Nesine 2. Lig (Profesyonel Takım)
ALİAĞA ATATÜRK STADI,ALİAĞA FUTBOL A.Ş.,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,25.10.2025,Nesine 2. Lig (Profesyonel Takım)
